,City,Lat,Long,Country,Max Temp,Humidity,Cloud Cover %,Wind Speed,Dates
0,Atuona,-9.8,-139.0333,PF,77.59,72,15,15.84,1643404950
1,Castro,-24.7911,-50.0119,BR,61.97,99,100,7.29,1643405004
2,Carnarvon,-24.8667,113.6333,AU,69.87,88,0,5.75,1643404949
3,Saskylakh,71.9167,114.0833,RU,0.93,89,100,6.04,1643405020
4,Hermanus,-34.4187,19.2345,ZA,63.81,76,0,11.45,1643404920
5,Banjar,-8.19,114.9675,ID,80.46,88,100,0.54,1643405079
6,Yacuiba,-22.038,-63.6797,BO,75.97,94,75,6.91,1643405080
7,Tabou,4.423,-7.3528,CI,80.24,80,71,7.61,1643405080
8,Yar-Sale,66.8333,70.8333,RU,-14.44,100,78,5.28,1643405080
9,Thompson,55.7435,-97.8558,CA,-5.64,65,100,5.75,1643404962
10,Ushuaia,-54.8,-68.3,AR,64.06,52,40,4.61,1643404819
11,Constitución,-35.3333,-72.4167,CL,65.32,72,0,11.39,1643405081
12,Taoudenni,22.6783,-3.9836,ML,74.03,13,94,11.61,1643405081
13,Salamiyah,35.0113,37.0532,SY,38.55,94,100,4.36,1643405081
14,Nago,26.5881,127.9761,JP,64.47,89,100,10.45,1643405082
15,Timrå,62.487,17.3257,SE,31.68,87,20,3.44,1643405082
16,Lata,40.1629,-8.3327,PT,50.05,61,0,4.61,1643405082
17,Bredasdorp,-34.5322,20.0403,ZA,63.28,77,54,6.91,1643405083
18,Makīnsk,52.6292,70.4169,KZ,-2.97,82,82,1.63,1643405083
19,Punta Arenas,-53.15,-70.9167,CL,62.71,55,0,5.75,1643404945
20,Alto Araguaia,-17.3147,-53.2153,BR,75.34,86,100,4.0,1643405083
21,Yellowknife,62.456,-114.3525,CA,1.42,91,100,9.22,1643404891
22,Ribeira Grande,38.5167,-28.7,PT,55.8,67,40,5.75,1643405084
23,Puerto Ayora,-0.7393,-90.3518,EC,80.56,75,70,9.48,1643405084
24,Kamenka,51.3223,42.7678,RU,17.74,95,100,11.83,1643405084
25,Amboasary,-25.0333,46.3833,MG,76.84,87,0,5.44,1643405085
26,Rikitea,-23.1203,-134.9692,PF,77.95,71,100,16.04,1643404997
27,Port Alfred,-33.5906,26.891,ZA,67.77,76,17,9.71,1643405085
28,Ancud,-41.8697,-73.8203,CL,80.13,60,0,9.53,1643404990
29,Hobart,-42.8794,147.3294,AU,64.26,80,75,13.8,1643405085
30,Hong Kong,22.2855,114.1577,HK,66.38,88,84,8.01,1643404712
31,Myaundzha,63.0494,147.1858,RU,-1.19,90,100,4.29,1643405086
32,Lakatoro,-16.0999,167.4164,VU,79.14,89,100,12.97,1643405086
33,Kavaratti,10.5669,72.642,IN,80.46,73,26,9.8,1643405086
34,Sain Alto,23.5833,-103.25,MX,67.21,24,85,7.05,1643405087
35,Fairbanks,64.8378,-147.7164,US,4.96,55,75,8.05,1643405087
36,Katsuura,35.1333,140.3,JP,41.18,68,100,8.57,1643405087
37,Mahébourg,-20.4081,57.7,MU,79.09,89,40,2.3,1643405088
38,Ossora,59.2353,163.0719,RU,33.21,96,100,19.44,1643405088
39,Arraial do Cabo,-22.9661,-42.0278,BR,80.56,83,75,6.91,1643405088
40,Lüderitz,-26.6481,15.1594,NA,69.33,71,0,28.34,1643405089
41,Chui,-33.6971,-53.4616,UY,70.56,59,62,8.81,1643405089
42,Dongsheng,39.8161,109.9776,CN,17.17,45,0,4.83,1643405090
43,Ballina,-28.8667,153.5667,AU,75.16,89,40,3.44,1643405090
44,Kumul,42.8,93.45,CN,21.63,51,0,5.08,1643405090
45,Tautira,-17.7333,-149.15,PF,84.22,75,24,16.75,1643405090
46,Albany,42.6001,-73.9662,US,32.09,80,100,5.86,1643405079
47,Tasiilaq,65.6145,-37.6368,GL,12.36,65,48,6.26,1643405151
48,Lázaro Cárdenas,17.9583,-102.2,MX,83.05,56,0,9.75,1643405151
49,Hithadhoo,-0.6,73.0833,MV,80.47,62,37,5.3,1643405152
50,Dunedin,-45.8742,170.5036,NZ,65.8,68,100,1.72,1643405152
51,Merauke,-8.4667,140.3333,ID,80.35,83,100,9.37,1643404903
52,Sainte-Maxime,43.3,6.6333,FR,51.53,78,71,2.44,1643405152
53,Busselton,-33.65,115.3333,AU,65.05,63,7,11.16,1643405016
54,Bandar-e Lengeh,26.5579,54.8807,IR,64.51,82,0,4.61,1643405153
55,Mataura,-46.1927,168.8643,NZ,61.48,58,95,2.35,1643404946
56,Taltal,-25.4,-70.4833,CL,68.86,71,30,7.72,1643405153
57,Lavrentiya,65.5833,-171.0,RU,-10.21,98,7,3.74,1643405153
58,Antalaha,-14.9003,50.2788,MG,72.23,84,12,6.31,1643405154
59,Norman Wells,65.282,-126.8329,CA,-5.76,71,100,8.05,1643405154
60,Barrow,71.2906,-156.7887,US,-11.18,70,100,16.11,1643405154
61,Conway,35.0887,-92.4421,US,50.02,35,75,4.0,1643404950
62,Ilulissat,69.2167,-51.1,GL,17.62,45,100,21.85,1643405155
63,Qandala,11.472,49.8728,SO,72.3,68,90,3.94,1643404937
64,Klaksvík,62.2266,-6.589,FO,43.72,82,88,24.4,1643404991
65,Mikhaylovka,50.06,43.2379,RU,18.79,96,94,10.16,1643405155
66,Bagua Grande,-5.7561,-78.4411,PE,76.8,82,100,1.3,1643405156
67,Acaraú,-2.8856,-40.12,BR,72.97,88,100,10.22,1643405156
68,Saint-Philippe,-21.3585,55.7679,RE,74.79,75,14,6.29,1643405156
69,Chase,50.8165,-119.6857,CA,33.08,88,100,3.85,1643405156
70,Rio Grande,-32.035,-52.0986,BR,77.11,57,13,12.26,1643405157
71,Buin,-33.7333,-70.75,CL,85.05,35,0,13.65,1643405157
72,Zemetchino,53.4973,42.6163,RU,14.38,94,99,12.37,1643405157
73,Isangel,-19.55,169.2667,VU,79.09,86,91,14.94,1643404967
74,Provideniya,64.3833,-173.3,RU,-2.49,99,17,2.66,1643405158
75,Kaeo,-35.1,173.7833,NZ,69.33,66,100,13.78,1643405158
76,Bolshaya Rechka,51.9503,104.7355,RU,-5.53,100,96,0.65,1643405158
77,Paamiut,61.994,-49.6678,GL,23.27,89,100,25.95,1643405159
78,Lamar,33.6668,-95.5836,US,55.36,26,0,21.85,1643405159
79,Grindavik,63.8424,-22.4338,IS,27.07,68,100,18.41,1643405159
80,Khatanga,71.9667,102.5,RU,-1.35,87,100,4.9,1643405160
81,Port-Gentil,-0.7193,8.7815,GA,78.76,94,20,0.0,1643405160
82,Chokurdakh,70.6333,147.9167,RU,-30.86,96,96,4.12,1643405160
83,Viedma,-40.8135,-62.9967,AR,92.12,18,0,16.67,1643405161
84,Dikson,73.5069,80.5464,RU,3.74,94,100,18.7,1643405161
85,Galle,6.0367,80.217,LK,76.59,82,45,1.25,1643405161
86,Verkhneural'sk,53.8769,59.2106,RU,12.4,98,100,4.14,1643405161
87,Port Macquarie,-31.4333,152.9167,AU,71.56,82,17,4.12,1643405148
88,Kapaa,22.0752,-159.319,US,79.12,67,0,1.01,1643405162
89,Flin Flon,54.7682,-101.865,CA,1.24,71,100,6.91,1643404966
90,Randfontein,-26.1844,27.702,ZA,61.7,85,99,8.77,1643405162
91,Bluff,-46.6,168.3333,NZ,61.81,72,91,5.17,1643405163
92,São Filipe,14.8961,-24.4956,CV,71.58,70,100,10.33,1643405163
93,Vaini,-21.2,-175.2,TO,82.29,79,99,19.22,1643404940
94,Sehithwa,-20.4667,22.7167,BW,71.4,84,98,5.66,1643405223
95,Vardø,70.3705,31.1107,NO,30.18,74,75,20.71,1643405119
96,Fort Nelson,58.8053,-122.7002,CA,20.79,93,100,6.91,1643405224
97,Lakes Entrance,-37.8811,147.981,AU,69.57,97,100,4.16,1643405224
98,Malanje,-9.5402,16.341,AO,64.47,95,100,3.89,1643405224
99,Saint Paul Harbor,57.79,-152.4072,US,26.11,80,100,13.8,1643405225
100,Port Elizabeth,-33.918,25.5701,ZA,65.1,82,75,12.66,1643405027
101,Puquio,-14.7,-74.1333,PE,57.2,56,80,13.22,1643404990
102,Cabo San Lucas,22.8909,-109.9124,MX,80.62,51,20,7.0,1643405106
103,Mitsamiouli,-11.3847,43.2844,KM,80.85,72,91,4.21,1643405225
104,Avarua,-21.2078,-159.775,CK,82.45,74,40,13.8,1643405020
105,Uddevalla,58.3478,11.9424,SE,40.06,86,100,5.99,1643405226
106,Muli,2.9167,73.5667,MV,79.93,66,73,11.27,1643405226
107,Torbay,47.6666,-52.7314,CA,26.58,86,100,9.22,1643405226
108,Ponta do Sol,32.6667,-17.1,PT,61.72,61,63,7.45,1643405227
109,Clyde River,70.4692,-68.5914,CA,-10.97,84,100,40.29,1643405227
110,Senneterre,48.3835,-77.2328,CA,-3.78,80,29,4.16,1643405227
111,Lensk,60.7253,114.9278,RU,-12.21,99,83,6.42,1643405228
112,George Town,5.4112,100.3354,MY,81.9,90,20,2.3,1643405218
113,Yulara,-25.2406,130.9889,AU,76.84,53,87,10.36,1643405228
114,Bethel,41.3712,-73.414,US,32.49,81,100,3.44,1643405228
115,Vilcún,-38.65,-72.2333,CL,70.54,35,0,10.98,1643405229
116,Nishihara,26.1842,127.7558,JP,63.68,97,100,6.91,1643405229
117,Marsala,37.7966,12.4352,IT,53.55,82,40,10.36,1643405229
118,La Asuncion,11.0333,-63.8628,VE,82.13,65,1,12.66,1643405230
119,Sangmélima,2.9333,11.9833,CM,70.79,34,84,1.05,1643405230
120,Meadow Lake,34.8014,-106.5436,US,47.17,31,1,6.02,1643405230
121,Comodoro Rivadavia,-45.8667,-67.5,AR,64.26,82,75,8.05,1643405231
122,Poum,-20.2333,164.0167,NC,82.26,76,88,18.03,1643405231
123,Izberbash,42.5696,47.8645,RU,26.65,74,55,8.08,1643404933
124,Codrington,-38.2667,141.9667,AU,62.73,79,93,11.18,1643405231
125,Biharamulo,-2.6319,31.3089,TZ,62.53,67,96,1.99,1643405232
126,Touros,-5.1989,-35.4608,BR,76.1,73,70,6.53,1643405232
127,Samarai,-10.6167,150.6667,PG,80.69,77,88,3.98,1643405165
128,Port-Cartier,50.0334,-66.8654,CA,4.75,77,4,8.75,1643405228
129,Lodja,-3.4833,23.4333,CD,71.69,96,100,1.52,1643405232
130,Yakeshi,49.2833,120.7333,CN,-14.58,96,96,4.81,1643405233
131,Korla,41.7597,86.1469,CN,22.05,61,0,5.7,1643405233
132,Lompoc,34.6391,-120.4579,US,74.7,20,0,3.44,1643405233
133,Hilo,19.7297,-155.09,US,80.33,66,20,10.36,1643405234
134,Jacqueville,5.2052,-4.4146,CI,82.31,80,52,10.92,1643405234
135,Naze,28.3667,129.4833,JP,56.43,75,100,10.4,1643405234
136,Mar del Plata,-38.0023,-57.5575,AR,73.42,71,0,21.0,1643405235
137,Kumano,34.3442,132.5894,JP,38.35,71,78,3.87,1643405235
138,Penha,-26.7694,-48.6458,BR,67.87,94,75,8.05,1643405236
139,Souillac,-20.5167,57.5167,MU,79.18,89,40,2.3,1643405296
140,Severo-Kuril'sk,50.6789,156.125,RU,23.72,84,100,29.97,1643405296
141,Vila Velha,-20.3297,-40.2925,BR,82.35,82,20,3.0,1643405297
142,Wau,7.7029,27.9953,SS,72.63,22,25,4.85,1643405297
143,Jamestown,42.097,-79.2353,US,20.08,61,100,4.0,1643405215
144,Broken Hill,-31.95,141.4333,AU,67.71,83,40,14.97,1643405297
145,Butaritari,3.0707,172.7902,KI,81.86,79,76,17.85,1643405298
146,Kodinsk,58.6881,99.1844,RU,-14.55,100,100,2.62,1643405298
147,Jalu,29.0331,21.5482,LY,52.97,60,4,8.37,1643405298
148,Turaif,31.6725,38.6637,SA,37.65,93,0,6.91,1643405299
149,Vestmannaeyjar,63.4427,-20.2734,IS,33.49,68,100,19.44,1643405299
150,Waingapu,-9.6567,120.2641,ID,77.76,86,100,6.22,1643405299
151,Magugu,-4.0167,35.7667,TZ,70.14,75,100,2.95,1643405300
152,Korčula,42.9622,17.1369,HR,46.96,47,73,17.31,1643405300
153,Hasaki,35.7333,140.8333,JP,32.4,48,100,8.75,1643405300
154,Cape Town,-33.9258,18.4232,ZA,68.27,71,0,8.01,1643405226
155,Saldanha,-33.0117,17.9442,ZA,64.45,80,0,23.49,1643405301
156,Faanui,-16.4833,-151.75,PF,81.41,74,12,17.85,1643405301
157,Ouro Sogui,15.6064,-13.3211,SN,86.0,23,0,2.3,1643405301
158,Inuvik,68.3499,-133.7218,CA,-17.54,76,20,3.44,1643405138
159,Sungai Raya,0.7,108.9,ID,76.35,87,100,3.71,1643405302
160,Qaanaaq,77.484,-69.3632,GL,-12.89,62,1,8.43,1643405302
161,Ilebo,-4.3167,20.5833,CD,74.39,81,100,0.47,1643405302
162,Mendeleyevsk,55.9082,52.2905,RU,11.44,95,100,6.08,1643405303
163,Karratha,-20.7377,116.8463,AU,78.62,73,29,10.2,1643405303
164,Ostrovnoy,68.0531,39.5131,RU,10.29,94,88,9.06,1643405303
165,Liverpool,53.4106,-2.9779,GB,52.29,86,40,3.0,1643404704
166,Westport,41.1415,-73.3579,US,33.75,76,100,1.01,1643405101
167,La Ronge,55.1001,-105.2842,CA,8.85,72,100,10.36,1643405304
168,Bambous Virieux,-20.3428,57.7575,MU,79.05,89,40,2.3,1643405304
169,São Félix do Xingu,-6.6447,-51.995,BR,74.68,96,99,1.05,1643405305
170,Yairipok,24.6667,94.0667,IN,41.02,91,0,1.66,1643405305
171,Khovd,48.0056,91.6419,MN,-10.93,76,14,5.66,1643405305
172,Kudahuvadhoo,2.6708,72.8944,MV,80.13,61,27,9.57,1643405305
173,Betanzos,43.2804,-8.2147,ES,48.09,77,0,2.3,1643405306
174,New Norfolk,-42.7826,147.0587,AU,63.91,66,96,1.99,1643405249
175,Santa Maria,-29.6842,-53.8069,BR,78.1,53,20,12.66,1643405145
176,Portland,45.5234,-122.6762,US,51.62,52,20,1.99,1643404781
177,Manzhouli,49.6,117.4333,CN,-6.09,86,10,10.67,1643405306
178,Daru,-9.0763,143.2092,PG,77.29,88,100,6.85,1643405307
179,Esperance,-33.8667,121.9,AU,58.84,84,0,12.17,1643405307
180,Iglino,54.8324,56.4126,RU,3.29,96,100,2.51,1643405307
181,Salalah,17.0151,54.0924,OM,71.69,73,0,4.61,1643405308
182,Srednekolymsk,67.45,153.6833,RU,-13.02,95,100,2.89,1643405200
183,Bunda,-2.05,33.8667,TZ,67.93,76,72,3.87,1643405368
184,Bengkulu,-3.8004,102.2655,ID,76.48,86,100,2.66,1643405368
185,Geraldton,-28.7667,114.6,AU,70.21,78,0,8.05,1643405369
186,Moyale,3.5167,39.0584,KE,73.2,27,9,8.86,1643405248
187,Mauá,-23.6678,-46.4614,BR,71.1,94,100,8.48,1643405369
188,Calabozo,8.9242,-67.4293,VE,93.92,28,30,10.94,1643405369
189,Kuching,1.55,110.3333,MY,75.42,100,40,2.3,1643405370
190,Atherton,53.5237,-2.4935,GB,52.16,83,100,8.99,1643405370
191,Sennar,13.5691,33.5672,SD,70.18,19,4,15.97,1643405370
192,Rochester,43.1548,-77.6156,US,15.55,78,75,1.01,1643405256
193,Noumea,-22.2763,166.4572,NC,80.01,99,100,12.19,1643405371
194,Rapid Valley,44.0625,-103.1463,US,54.37,21,0,1.01,1643405371
195,Vermilion,40.1667,-87.7506,US,25.39,60,40,11.01,1643405371
196,Bambanglipuro,-7.95,110.2833,ID,75.13,87,91,3.36,1643405371
197,Matamoros,25.5333,-103.25,MX,57.31,62,100,9.22,1643405111
198,Ikalamavony,-21.15,46.5833,MG,65.84,86,8,4.99,1643405372
199,Kavieng,-2.5744,150.7967,PG,81.79,78,98,6.46,1643405372
200,Lesosibirsk,58.2358,92.4828,RU,-2.22,99,100,3.6,1643405373
201,Athabasca,54.7169,-113.2854,CA,37.09,66,88,12.8,1643405373
202,Pisco,-13.7,-76.2167,PE,77.05,61,0,19.57,1643405373
203,Rawson,-43.3002,-65.1023,AR,74.32,61,8,15.48,1643405373
204,Havelock,34.8791,-76.9013,US,46.63,84,100,10.36,1643405374
205,Bonavista,48.6499,-53.1147,CA,27.12,68,100,14.9,1643405374
206,Bandarbeyla,9.4942,50.8122,SO,74.7,74,70,21.39,1643405374
207,Mangan,27.5167,88.5333,IN,47.14,32,1,6.8,1643405375
208,Cayenne,4.9333,-52.3333,GF,77.09,86,100,5.75,1643405375
209,Pevek,69.7008,170.3133,RU,-17.61,100,32,2.04,1643405328
210,Sechura,-5.5569,-80.8222,PE,78.31,65,66,16.35,1643405075
211,Tuktoyaktuk,69.4541,-133.0374,CA,-18.4,69,20,14.97,1643405376
212,Deputatsky,69.3,139.9,RU,-26.09,99,99,2.46,1643405376
213,Moerai,-22.4333,-151.3333,PF,79.56,78,13,13.13,1643405376
214,Humaitá,-7.5061,-63.0208,BR,77.86,94,100,2.82,1643405376
215,La Roda,39.2167,-2.15,ES,44.91,41,0,6.15,1643405377
216,Coihueco,-36.6167,-71.8333,CL,74.14,50,0,10.36,1643405377
217,Cidreira,-30.1811,-50.2056,BR,72.93,61,76,12.39,1643405127
218,Tuatapere,-46.1333,167.6833,NZ,61.83,61,99,4.65,1643405377
219,Merrill,45.1805,-89.6835,US,12.97,55,100,9.22,1643405079
220,Danshui,22.7984,114.4672,CN,66.07,82,85,2.04,1643405378
221,Giohar,2.7809,45.5005,SO,73.38,79,16,12.86,1643405378
222,Samagaltay,50.6022,95.0047,RU,-18.04,96,52,2.17,1643405378
223,Salamanca,40.8333,-6.0,ES,37.99,46,0,9.06,1643404736
224,Suntar,62.1444,117.6319,RU,-10.98,95,31,6.4,1643405379
225,Upernavik,72.7868,-56.1549,GL,1.2,62,100,9.69,1643405336
226,Berdigestyakh,62.0989,126.6992,RU,-11.81,97,98,7.18,1643405379
227,Chul'man,56.8479,124.9104,RU,-4.05,92,100,13.51,1643405379
228,Meulaboh,4.1363,96.1285,ID,79.02,86,80,2.35,1643405380
229,Luganville,-15.5333,167.1667,VU,78.71,90,100,10.22,1643405440
230,Makakilo City,21.3469,-158.0858,US,77.61,60,40,10.36,1643405241
231,East London,-33.0153,27.9116,ZA,70.36,78,58,10.98,1643405218
232,Kiunga,-6.1219,141.2906,PG,72.27,98,100,1.61,1643405440
233,Bowen,-20.0167,148.2333,AU,75.42,77,30,15.52,1643405441
234,Padang,-0.9492,100.3543,ID,76.77,85,88,4.34,1643405441
235,Iqaluit,63.7506,-68.5145,CA,-15.07,76,100,14.97,1643405442
236,Forsytheganj,52.6333,29.7333,BY,32.5,98,100,11.92,1643405442
237,Tessalit,20.1986,1.0114,ML,65.86,15,5,10.83,1643405442
238,Mineiros,-17.5694,-52.5511,BR,70.5,92,91,5.53,1643405443
239,Vanavara,60.34,102.2797,RU,-14.44,100,96,3.33,1643405443
240,Nantucket,41.2835,-70.0995,US,35.71,77,100,3.69,1643405212
241,Lānja,16.85,73.55,IN,66.49,42,4,6.15,1643405443
242,Yaan,7.3833,8.5667,NG,82.36,18,99,7.78,1643405444
243,Vágur,61.4732,-6.8119,FO,45.03,94,100,17.63,1643405444
244,Maguling,6.095,124.4033,PH,77.18,83,79,2.89,1643405444
245,Góra Kalwaria,51.9765,21.2154,PL,35.94,77,90,17.96,1643405445
246,Pangnirtung,66.1451,-65.7125,CA,-11.2,77,100,2.3,1643405445
247,Dingzhou,38.5131,114.9956,CN,17.71,63,65,0.96,1643405445
248,Rensvik,63.1,7.8167,NO,42.46,75,40,11.5,1643405446
249,Ust-Nera,64.5667,143.2,RU,-10.14,97,100,1.92,1643405446
250,Burnie,-41.0667,145.9167,AU,65.95,80,15,8.05,1643405446
251,Vuktyl,63.8567,57.3094,RU,4.42,93,100,8.68,1643405447
252,Porto Velho,-8.7619,-63.9039,BR,82.45,83,20,6.91,1643405447
253,Eston,51.1501,-108.7514,CA,35.49,81,59,7.36,1643405447
254,Zhigansk,66.7697,123.3711,RU,-11.45,96,90,17.18,1643405448
255,Yangi Marg`ilon,40.4272,71.7189,UZ,36.32,41,100,4.61,1643405448
256,Bashtanka,47.4072,32.4387,UA,32.27,94,100,13.67,1643405448
257,Chupa,66.27,33.0549,RU,9.79,97,100,3.53,1643405449
258,Banda Aceh,5.5577,95.3222,ID,78.42,84,21,5.21,1643405449
259,Ţahţā,26.7693,31.5021,EG,47.26,44,0,6.93,1643405449
260,Talnakh,69.4865,88.3972,RU,1.2,93,100,12.21,1643405450
261,Lorengau,-2.0226,147.2712,PG,81.48,82,100,6.22,1643405402
262,Ponta Delgada,37.7333,-25.6667,PT,58.5,82,40,6.91,1643405450
263,Anadyr,64.75,177.4833,RU,-7.01,83,20,0.0,1643405451
264,Ketchikan,55.3422,-131.6461,US,45.07,93,100,13.8,1643405451
265,Alberton,46.8168,-64.0654,CA,24.93,95,100,3.71,1643405441
266,Mitla,16.9167,-96.4,MX,79.03,59,68,8.63,1643405451
267,Filingué,14.3521,3.3168,NE,71.28,17,5,12.21,1643405452
268,Arica,-18.475,-70.3042,CL,76.55,60,0,10.36,1643405372
269,Trelew,-43.249,-65.3051,AR,80.38,45,7,19.44,1643405398
270,‘Ewa Beach,21.3156,-158.0072,US,79.02,59,40,11.99,1643405452
271,Erdenet,49.0333,104.0833,MN,-7.51,96,100,4.45,1643405453
272,Qingdao,36.0986,120.3719,CN,20.8,86,0,6.71,1643405453
273,Tshikapa,-6.4167,20.8,CD,73.47,85,100,0.81,1643405453
274,Sistranda,63.7256,8.834,NO,37.36,80,100,16.2,1643405454
